               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.069402,             0.20825,            0.039476,             0.46682,             0.28785,             0.28941,             0.14155,            0.065733,             0.15777,            0.031274,            0.008682,            0.008682,            0.008682
                  77,            0.069388,               0.208,            0.039438,             0.44138,             0.29692,             0.29054,             0.14231,             0.06575,             0.15761,            0.031246,           0.0086485,           0.0086485,           0.0086485
                  78,            0.069437,             0.20792,            0.039391,              0.4448,             0.30372,             0.28844,             0.14113,            0.065732,             0.15761,            0.031218,           0.0086146,           0.0086146,           0.0086146
                  79,             0.06939,             0.20818,            0.039332,             0.46674,             0.29182,             0.29042,             0.14239,            0.065632,             0.15776,            0.031228,           0.0085805,           0.0085805,           0.0085805
                  80,            0.069369,             0.20795,            0.039333,             0.43062,             0.31125,             0.29058,             0.14219,            0.065673,             0.15766,            0.031179,           0.0085459,           0.0085459,           0.0085459
                  81,            0.069326,              0.2079,            0.039335,             0.43132,              0.2999,             0.29109,             0.14193,            0.065685,             0.15766,            0.031233,           0.0085111,           0.0085111,           0.0085111
                  82,            0.069378,               0.208,             0.03929,             0.44332,             0.30288,             0.29024,              0.1433,            0.065726,             0.15765,            0.031216,           0.0084759,           0.0084759,           0.0084759
                  83,            0.069387,             0.20787,            0.039258,             0.43815,             0.30301,             0.29103,             0.14297,            0.065636,             0.15763,            0.031263,           0.0084404,           0.0084404,           0.0084404
                  84,            0.069332,             0.20828,            0.039291,             0.43387,             0.30492,             0.29141,             0.14306,            0.065642,             0.15759,            0.031112,           0.0084046,           0.0084046,           0.0084046
                  85,            0.069359,             0.20832,            0.039278,             0.45381,             0.30011,             0.29365,              0.1426,            0.065639,             0.15764,            0.031111,           0.0083684,           0.0083684,           0.0083684
                  86,            0.069388,             0.20802,            0.039197,             0.45871,             0.29269,             0.29414,             0.14404,            0.065682,             0.15739,            0.031037,           0.0083319,           0.0083319,           0.0083319
                  87,            0.069309,             0.20745,            0.039233,             0.44006,             0.30456,             0.29409,             0.14495,            0.065576,             0.15764,            0.031023,           0.0082952,           0.0082952,           0.0082952
                  88,             0.06925,             0.20746,            0.039027,             0.47623,             0.28873,             0.29429,             0.14307,            0.065692,             0.15751,            0.031074,           0.0082581,           0.0082581,           0.0082581
                  89,            0.069244,             0.20788,             0.03919,             0.44658,             0.30355,             0.29635,             0.14486,            0.065673,             0.15744,            0.031119,           0.0082207,           0.0082207,           0.0082207
                  90,            0.069323,             0.20804,             0.03915,             0.43633,             0.30509,             0.29445,             0.14545,            0.065586,              0.1574,            0.031057,            0.008183,            0.008183,            0.008183
